| ra_number  |of_number  |se_number  |race_id|office_id|ra_num_winners|rt_number  |rt_party_name|of_description  |ot_number  |ot_name |se_name |of_scope|race_order |el_date |ra_uncontested|ra_tabulate|st_postal|ra_national_b|
|   4159|   3528|  4|G  |I| 1| 13| |Union secret ballot | 41|Proposition |113 - Secret Ballot |S   |928|20101102| 0|  1|AZ   |1|
|   4160|   3529|  5|G  |I| 1| 13| |Medical marijuana   | 41|Proposition |203 - Medical Marijuana |S   |931|20101102| 0|  1|AZ   |1|
|   5103|   4001|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |150|20101102| 0|  1|AR   |1|
|   5104|   4002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |210|20101102| 0|  1|AR   |1|
|   5105|   4003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |250|20101102| 0|  1|AR   |1|
|   5107|   4005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |330|20101102| 0|  1|AR   |1|
|   5626|   4006|  0|G  |G| 1|  7| ||  4|Governor||S   |360|20101102| 0|  1|AR   |1|
|   5692|   5001|  2|G  |H| 1|  7| |Marysville  |  3|U.S. House  |District 2  |L   |   1950|20101102| 0|  1|CA   |1|
|   5693|   5002|  3|G  |H| 1|  7| |Sacramento  |  3|U.S. House  |District 3  |L   |   2010|20101102| 0|  1|CA   |1|
|   5694|   5003|  4|G  |H| 1|  7| |Rocklin |  3|U.S. House  |District 4  |L   |   2110|20101102| 0|  1|CA   |1|
|   5695|   5004|  5|G  |H| 1|  7| |Sacramento  |  3|U.S. House  |District 5  |L   |   2170|20101102| 0|  1|CA   |1|
|   5696|   5005|  6|G  |H| 1|  7| |Petaluma|  3|U.S. House  |District 6  |L   |   2260|20101102| 0|  1|CA   |1|
|   5697|   5006|  7|G  |H| 1|  7| |Martinez|  3|U.S. House  |District 7  |L   |   2340|20101102| 0|  1|CA   |1|
|   5698|   5007|  8|G  |H| 1|  7| |San Francisco   |  3|U.S. House  |District 8  |L   |   2400|20101102| 0|  1|CA   |1|
|   5699|   5008|  9|G  |H| 1|  7| |Oakland |  3|U.S. House  |District 9  |L   |   2490|20101102| 0|  1|CA   |1|
|   5701|   5010| 11|G  |H| 1|  7| |Tracy   |  3|U.S. House  |District 11 |L   |   2660|20101102| 0|  1|CA   |1|
|   5702|   5011| 12|G  |H| 1|  7| |San Mateo   |  3|U.S. House  |District 12 |L   |   2700|20101102| 0|  1|CA   |1|
|   5703|   5012| 13|G  |H| 1|  7| |Fremont |  3|U.S. House  |District 13 |L   |   2790|20101102| 0|  1|CA   |1|
|   5704|   5013| 14|G  |H| 1|  7| |Atherton|  3|U.S. House  |District 14 |L   |   2870|20101102| 0|  1|CA   |1|
|   5705|   5014| 15|G  |H| 1|  7| |San Jose|  3|U.S. House  |District 15 |L   |   2950|20101102| 0|  1|CA   |1|
|   5706|   5015| 16|G  |H| 1|  7| |San Jose|  3|U.S. House  |District 16 |L   |   3010|20101102| 0|  1|CA   |1|
|   5707|   5016| 17|G  |H| 1|  7| |Carmel  |  3|U.S. House  |District 17 |L   |   3080|20101102| 0|  1|CA   |1|
|   5708|   5017| 18|G  |H| 1|  7| |Merced  |  3|U.S. House  |District 18 |L   |   3190|20101102| 0|  1|CA   |1|
|   5709|   5018| 19|G  |H| 1|  7| |Mariposa|  3|U.S. House  |District 19 |L   |   3250|20101102| 0|  1|CA   |1|
|   5710|   5019| 20|G  |H| 1|  7| |Hanford |  3|U.S. House  |District 20 |L   |   3310|20101102| 0|  1|CA   |1|
|   5711|   5020| 21|G  |H| 1|  7| |Tulare  |  3|U.S. House  |District 21 |L   |   3360|20101102| 1|  0|CA   |1|
|   5712|   5021| 22|G  |H| 1|  7| |Bakersfield |  3|U.S. House  |District 22 |L   |   3420|20101102| 1|  0|CA   |1|
|   5713|   5022| 23|G  |H| 1|  7| |Santa Barbara   |  3|U.S. House  |District 23 |L   |   3470|20101102| 0|  1|CA   |1|
|   5714|   5023| 24|G  |H| 1|  7| |Simi Valley |  3|U.S. House  |District 24 |L   |   3550|20101102| 0|  1|CA   |1|
|   5715|   5024| 25|G  |H| 1|  7| |Santa Clarita   |  3|U.S. House  |District 25 |L   |   3610|20101102| 0|  1|CA   |1|
|   5716|   5025| 26|G  |H| 1|  7| |San Dimas   |  3|U.S. House  |District 26 |L   |   3670|20101102| 0|  1|CA   |1|
|   5717|   5026| 27|G  |H| 1|  7| |Sherman Oaks|  3|U.S. House  |District 27 |L   |   3750|20101102| 0|  1|CA   |1|
|   5718|   5027| 28|G  |H| 1|  7| |North Hollywood |  3|U.S. House  |District 28 |L   |   3810|20101102| 0|  1|CA   |1|
|   5719|   5028| 29|G  |H| 1|  7| |Pasadena|  3|U.S. House  |District 29 |L   |   3890|20101102| 0|  1|CA   |1|
|   5720|   5029| 30|G  |H| 1|  7| |Los Angeles |  3|U.S. House  |District 30 |L   |   3980|20101102| 0|  1|CA   |1|
|   5721|   5030| 31|G  |H| 1|  7| |Los Angeles |  3|U.S. House  |District 31 |L   |   4040|20101102| 0|  1|CA   |1|
|   5722|   5031| 32|G  |H| 1|  7| |El Monte|  3|U.S. House  |District 32 |L   |   4090|20101102| 0|  1|CA   |1|
|   5723|   5032| 33|G  |H| 1|  7| |Los Angeles |  3|U.S. House  |District 33 |L   |   4140|20101102| 0|  1|CA   |1|
|   5724|   5033| 34|G  |H| 1|  7| |Los Angeles |  3|U.S. House  |District 34 |L   |   4200|20101102| 0|  1|CA   |1|
|   5725|   5034| 35|G  |H| 1|  7| |Los Angeles |  3|U.S. House  |District 35 |L   |   4240|20101102| 0|  1|CA   |1|
|   5726|   5035| 36|G  |H| 1|  7| |Venice  |  3|U.S. House  |District 36 |L   |   4310|20101102| 0|  1|CA   |1|
|   5727|   5036| 37|G  |H| 1|  7| |Carson  |  3|U.S. House  |District 37 |L   |   4390|20101102| 0|  1|CA   |1|
|   5728|   5037| 38|G  |H| 1|  7| |Norwalk |  3|U.S. House  |District 38 |L   |   4450|20101102| 0|  1|CA   |1|
|   5729|   5038| 39|G  |H| 1|  7| |Lakewood|  3|U.S. House  |District 39 |L   |   4500|20101102| 0|  1|CA   |1|
|   5730|   5039| 40|G  |H| 1|  7| |Fullerton   |  3|U.S. House  |District 40 |L   |   4560|20101102| 0|  1|CA   |1|
|   5731|   5040| 41|G  |H| 1|  7| |Redlands|  3|U.S. House  |District 41 |L   |   4610|20101102| 0|  1|CA   |1|
|   5732|   5041| 42|G  |H| 1|  7| |Diamond Bar |  3|U.S. House  |District 42 |L   |   4670|20101102| 0|  1|CA   |1|
|   5733|   5042| 43|G  |H| 1|  7| |San Bernardino  |  3|U.S. House  |District 43 |L   |   4730|20101102| 0|  1|CA   |1|
|   5734|   5043| 44|G  |H| 1|  7| |Corona  |  3|U.S. House  |District 44 |L   |   4780|20101102| 0|  1|CA   |1|
|   5735|   5044| 45|G  |H| 1|  7| |Palm Springs|  3|U.S. House  |District 45 |L   |   4840|20101102| 0|  1|CA   |1|
|   5736|   5234| 46|G  |H| 1|  7| |Huntington Beach|  3|U.S. House  |District 46 |L   |   4900|20101102| 0|  1|CA   |1|
|   5739|   5235| 47|G  |H| 1|  7| |Santa Ana   |  3|U.S. House  |District 47 |L   |   4970|20101102| 0|  1|CA   |1|
|   5741|   5237| 49|G  |H| 1|  7| |Vista   |  3|U.S. House  |District 49 |L   |   5110|20101102| 0|  1|CA   |1|
|   5742|   5238| 50|G  |H| 1|  7| |Del Mar |  3|U.S. House  |District 50 |L   |   5170|20101102| 0|  1|CA   |1|
|   5743|   5239| 51|G  |H| 1|  7| |San Diego   |  3|U.S. House  |District 51 |L   |   5300|20101102| 0|  1|CA   |1|
|   5744|   5240| 53|G  |H| 1|  7| |San Diego   |  3|U.S. House  |District 53 |L   |   5370|20101102| 0|  1|CA   |1|
|   6092|   4004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |290|20101102| 0|  1|AR   |1|
|   6123|   5045|  0|G  |G| 1|  7| ||  4|Governor||S   |   5510|20101102| 0|  1|CA   |1|
|   6418|   4719|  1|G  |I| 1| 13| |Amendment - SJR 3   | 65|Issue   |1 - Hunting and Fishing |S   |661|20101102| 0|  1|AR   |1|
|   6478|   5000|  1|G  |H| 1|  7| |St. Helena  |  3|U.S. House  |District 1  |L   |   1860|20101102| 0|  1|CA   |1|
|   6614|   6003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |200|20101102| 0|  1|CO   |1|
|   6615|   6004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |230|20101102| 0|  1|CO   |1|
|   6616|   6005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |240|20101102| 0|  1|CO   |1|
|   6617|   6006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |260|20101102| 0|  1|CO   |1|
|   6618|   6007|  6|G  |H| 1|  7| ||  3|U.S. House  |District 6  |L   |270|20101102| 0|  1|CO   |1|
|   6619|   6008|  0|G  |G| 1|  7| ||  4|Governor||S   |279|20101102| 0|  1|CO   |1|
|   6954|   6297|  7|G  |H| 1|  7| ||  3|U.S. House  |District 7  |L   |278|20101102| 0|  1|CO   |1|
|   7007|   7002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |260|20101102| 0|  1|CT   |1|
|   7009|   7003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |290|20101102| 0|  1|CT   |1|
|   7011|   7004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |330|20101102| 0|  1|CT   |1|
|   7013|   7005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |360|20101102| 0|  1|CT   |1|
|   7015|   7006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |390|20101102| 0|  1|CT   |1|
|   7019|   7008|  0|G  |G| 1|  7| ||  4|Governor||S   |140|20101102| 0|  1|CT   |1|
|   7190|   6405|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |180|20101102| 0|  1|CO   |1|
|   7191|   6406|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |190|20101102| 0|  1|CO   |1|
|   7296|   5581| 52|G  |H| 1|  7| |Alpine  |  3|U.S. House  |District 52 |L   |   5360|20101102| 0|  1|CA   |1|
|   7513|   6596|  1|G  |I| 1| 13| |Constitutional  | 38|Amendment   |62 - Definition of Person   |S   |286|20101102| 0|  1|CO   |1|
|   7531|   6614|  2|G  |I| 1| 13| |Constitutional  | 38|Amendment   |63 - Health Care|S   |287|20101102| 0|  1|CO   |1|
|   8074|   8001|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |S   |210|20101102| 0|  1|DE   |1|
|   8149|   5236| 48|G  |H| 1|  7| |Newport Beach   |  3|U.S. House  |District 48 |L   |   5030|20101102| 0|  1|CA   |1|
|   8281|   8000|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |150|20101102| 0|  1|DE   |1|
|   8514|   5009| 10|G  |H| 1|  7| |Alamo   |  3|U.S. House  |District 10 |L   |   2569|20101102| 0|  1|CA   |1|
|   8516|   5232|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |239|20101102| 0|  1|CA   |1|
|   8521|   5990|  1|G  |I| 1| 13| || 41|Proposition |19 - Legalize Marijuana |S   |   5693|20101102| 0|  1|CA   |1|
|   8523|   5992|  2|G  |I| 1| 13| || 41|Proposition |25 - Budget Vote|S   |   5713|20101102| 0|  1|CA   |1|
|   9147|   7001|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |220|20101102| 0|  1|CT   |1|
|  10009|  10003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |220|20101102| 0|  1|FL   |1|
|  10011|  10004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |250|20101102| 0|  1|FL   |1|
|  10013|  10005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |280|20101102| 0|  1|FL   |1|
|  10015|  10006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |320|20101102| 0|  1|FL   |1|
|  10017|  10007|  6|G  |H| 1|  7| ||  3|U.S. House  |District 6  |L   |370|20101102| 0|  1|FL   |1|
|  10019|  10008|  7|G  |H| 1|  7| ||  3|U.S. House  |District 7  |L   |400|20101102| 0|  1|FL   |1|
|  10021|  10009|  8|G  |H| 1|  7| ||  3|U.S. House  |District 8  |L   |430|20101102| 0|  1|FL   |1|
|  10023|  10010|  9|G  |H| 1|  7| ||  3|U.S. House  |District 9  |L   |460|20101102| 0|  1|FL   |1|
|  10025|  10011| 10|G  |H| 1|  7| ||  3|U.S. House  |District 10 |L   |500|20101102| 0|  1|FL   |1|
|  10027|  10012| 11|G  |H| 1|  7| ||  3|U.S. House  |District 11 |L   |550|20101102| 0|  1|FL   |1|
|  10029|  10013| 12|G  |H| 1|  7| ||  3|U.S. House  |District 12 |L   |590|20101102| 0|  1|FL   |1|
|  10031|  10014| 13|G  |H| 1|  7| ||  3|U.S. House  |District 13 |L   |620|20101102| 0|  1|FL   |1|
|  10033|  10015| 14|G  |H| 1|  7| ||  3|U.S. House  |District 14 |L   |650|20101102| 0|  1|FL   |1|
|  10035|  10016| 15|G  |H| 1|  7| ||  3|U.S. House  |District 15 |L   |690|20101102| 0|  1|FL   |1|
|  10037|  10017| 16|G  |H| 1|  7| ||  3|U.S. House  |District 16 |L   |730|20101102| 0|  1|FL   |1|
|  10039|  10018| 17|G  |H| 1|  7| ||  3|U.S. House  |District 17 |L   |780|20101102| 0|  1|FL   |1|
|  10041|  10019| 18|G  |H| 1|  7| ||  3|U.S. House  |District 18 |L   |810|20101102| 0|  1|FL   |1|
|  10045|  10021|  0|G  |G| 1|  7| ||  4|Governor||S   |   1090|20101102| 0|  1|FL   |1|
|  10393|  10213| 21|G  |H| 1|  7| ||  3|U.S. House  |District 21 |L   |920|20101102| 1|  0|FL   |1|
|  10396|  10214| 22|G  |H| 1|  7| ||  3|U.S. House  |District 22 |L   |960|20101102| 0|  1|FL   |1|
|  10398|  10215| 23|G  |H| 1|  7| ||  3|U.S. House  |District 23 |L   |   1000|20101102| 0|  1|FL   |1|
|  10401|  10212| 20|G  |H| 1|  7| ||  3|U.S. House  |District 20 |L   |890|20101102| 0|  1|FL   |1|
|  11003|  11001|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |125|20101102| 0|  1|GA   |1|
|  11007|  11002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |130|20101102| 0|  1|GA   |1|
|  11009|  11003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |140|20101102| 0|  1|GA   |1|
|  11011|  11004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |150|20101102| 0|  1|GA   |1|
|  11013|  11005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |160|20101102| 0|  1|GA   |1|
|  11015|  11006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |170|20101102| 0|  1|GA   |1|
|  11017|  11007|  6|G  |H| 1|  7| ||  3|U.S. House  |District 6  |L   |180|20101102| 1|  0|GA   |1|
|  11019|  11008|  7|G  |H| 1|  7| ||  3|U.S. House  |District 7  |L   |190|20101102| 0|  1|GA   |1|
|  11021|  11009|  8|G  |H| 1|  7| ||  3|U.S. House  |District 8  |L   |200|20101102| 0|  1|GA   |1|
|  11023|  11010|  9|G  |H| 1|  7| ||  3|U.S. House  |District 9  |L   |210|20101102| 1|  0|GA   |1|
|  11025|  11011| 10|G  |H| 1|  7| ||  3|U.S. House  |District 10 |L   |490|20101102| 0|  1|GA   |1|
|  11126|  10002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |200|20101102| 0|  1|FL   |1|
|  11128|  10393| 24|G  |H| 1|  7| ||  3|U.S. House  |District 24 |L   |   1030|20101102| 0|  1|FL   |1|
|  11129|  10394| 25|G  |H| 1|  7| ||  3|U.S. House  |District 25 |L   |   1060|20101102| 0|  1|FL   |1|
|  11160|  10409|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |170|20101102| 0|  1|FL   |1|
|  11399|  10020| 19|G  |H| 1|  7| ||  3|U.S. House  |District 19 |L   |850|20101102| 0|  1|FL   |1|
|  11417|  10629|  0|G  |I| 1|  7| || 43|Referendum  |1 - Balanced Budget |S   |   7345|20101102| 0|  1|FL   |1|
|  11610|  11299| 11|G  |H| 1|  7| ||  3|U.S. House  |District 11 |L   |500|20101102| 1|  0|GA   |1|
|  12008|  12004|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |370|20101102| 0|  1|HI   |1|
|  12029|  11012|  0|G  |G| 1|  7| ||  4|Governor||S   |126|20101102| 0|  1|GA   |1|
|  12211|  12002|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |210|20101102| 0|  1|HI   |1|
|  12237|  11403| 12|G  |H| 1|  7| ||  3|U.S. House  |District 12 |L   |510|20101102| 0|  1|GA   |1|
|  12238|  11404| 13|G  |H| 1|  7| ||  3|U.S. House  |District 13 |L   |520|20101102| 0|  1|GA   |1|
|  12480|  12005|  0|G  |G| 1|  7| ||  4|Governor||S   |211|20101102| 0|  1|HI   |1|
|  12881|  12003|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |290|20101102| 0|  1|HI   |1|
|  13253|  13001|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |240|20101102| 0|  1|ID   |1|
|  13254|  13002|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |250|20101102| 0|  1|ID   |1|
|  13676|  13180|  0|G  |G| 1|  7| ||  4|Governor||S   |600|20101102| 0|  1|ID   |1|
|  14055|  13283|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |220|20101102| 0|  1|ID   |1|
|  15014|  15002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |350|20101102| 0|  1|IN   |1|
|  15017|  15003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |380|20101102| 0|  1|IN   |1|
|  15020|  15004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |410|20101102| 0|  1|IN   |1|
|  15023|  15005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |440|20101102| 0|  1|IN   |1|
|  15026|  15006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |470|20101102| 0|  1|IN   |1|
|  15029|  15007|  6|G  |H| 1|  7| ||  3|U.S. House  |District 6  |L   |500|20101102| 0|  1|IN   |1|
|  15032|  15008|  7|G  |H| 1|  7| ||  3|U.S. House  |District 7  |L   |530|20101102| 0|  1|IN   |1|
|  15035|  15009|  8|G  |H| 1|  7| ||  3|U.S. House  |District 8  |L   |560|20101102| 0|  1|IN   |1|
|  15038|  15010|  9|G  |H| 1|  7| ||  3|U.S. House  |District 9  |L   |590|20101102| 0|  1|IN   |1|
|  15695|  15243|  0|G  |S| 1|  7| ||  2|U.S. Senate ||S   |170|20101102| 0|  1|IN   |1|
|  15988|  14001|  0|G  |S| 1|  7| ||  2|U.S. Senate |2010|S   |110|20101102| 0|  1|IL   |1|
|  15989|  14024|  0|G  |G| 1|  7| ||  4|Governor||S   |130|20101102| 0|  1|IL   |1|
|  15990|  14002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |180|20101102| 0|  1|IL   |1|
|  15991|  14289|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |190|20101102| 0|  1|IL   |1|
|  15992|  14004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |220|20101102| 0|  1|IL   |1|
|  15993|  14005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |230|20101102| 0|  1|IL   |1|
|  15994|  14006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |240|20101102| 0|  1|IL   |1|
|  15995|  14007|  6|G  |H| 1|  7| ||  3|U.S. House  |District 6  |L   |250|20101102| 0|  1|IL   |1|
|  15996|  14008|  7|G  |H| 1|  7| ||  3|U.S. House  |District 7  |L   |260|20101102| 0|  1|IL   |1|
|  15997|  14009|  8|G  |H| 1|  7| ||  3|U.S. House  |District 8  |L   |270|20101102| 0|  1|IL   |1|
|  15998|  14010|  9|G  |H| 1|  7| ||  3|U.S. House  |District 9  |L   |280|20101102| 0|  1|IL   |1|
|  15999|  14011| 10|G  |H| 1|  7| ||  3|U.S. House  |District 10 |L   |290|20101102| 0|  1|IL   |1|
|  16000|  14012| 11|G  |H| 1|  7| ||  3|U.S. House  |District 11 |L   |300|20101102| 0|  1|IL   |1|
|  16001|  14013| 12|G  |H| 1|  7| ||  3|U.S. House  |District 12 |L   |310|20101102| 0|  1|IL   |1|
|  16002|  14014| 13|G  |H| 1|  7| ||  3|U.S. House  |District 13 |L   |320|20101102| 0|  1|IL   |1|
|  16003|  14015| 14|G  |H| 1|  7| ||  3|U.S. House  |District 14 |L   |330|20101102| 0|  1|IL   |1|
|  16004|  14016| 15|G  |H| 1|  7| ||  3|U.S. House  |District 15 |L   |340|20101102| 0|  1|IL   |1|
|  16005|  14017| 16|G  |H| 1|  7| ||  3|U.S. House  |District 16 |L   |350|20101102| 0|  1|IL   |1|
|  16006|  14018| 17|G  |H| 1|  7| ||  3|U.S. House  |District 17 |L   |360|20101102| 0|  1|IL   |1|
|  16007|  14019| 18|G  |H| 1|  7| ||  3|U.S. House  |District 18 |L   |370|20101102| 0|  1|IL   |1|
|  16008|  14020| 19|G  |H| 1|  7| ||  3|U.S. House  |District 19 |L   |380|20101102| 0|  1|IL   |1|
|  16011|  14449|  1|G  |I| 1| 13| || 38|Amendment   |Recall of Governor  |S   |390|20101102| 0|  1|IL   |1|
|  17007|  17001|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |390|20101102| 0|  1|KS   |1|
|  17009|  17004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |430|20101102| 0|  1|KS   |1|
|  17010|  17005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |440|20101102| 0|  1|KS   |1|
|  17070|  16217|  0|G  |S| 1|  7| ||  2|U.S. Senate |2010|S   |   5541|20101102| 0|  1|IA   |1|
|  17071|  16002|  1|G  |H| 1|  7| ||  3|U.S. House  |District 1  |L   |   5542|20101102| 0|  1|IA   |1|
|  17072|  16003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |   5543|20101102| 0|  1|IA   |1|
|  17073|  16004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |   5544|20101102| 0|  1|IA   |1|
|  17074|  16005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |   5545|20101102| 0|  1|IA   |1|
|  17075|  16006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |   5546|20101102| 0|  1|IA   |1|
|  17076|  16008|  0|G  |G| 1|  7| ||  4|Governor||S   |   5547|20101102| 0|  1|IA   |1|
|  17355|  17003|  2|G  |H| 1|  7| ||  3|U.S. House  |District 2  |L   |400|20101102| 0|  1|KS   |1|
|  17559|  17006|  0|G  |G| 1|  7| ||  4|Governor||S   |120|20101102| 0|  1|KS   |1|
|  17681|  17189|  0|G  |S| 1|  7| ||  2|U.S. Senate |2010|S   |110|20101102| 0|  1|KS   |1|
|  17687|  17192|  1|G  |I| 1| 13| || 38|Amendment   |1 - Right to Bear Arms  |S   |481|20101102| 0|  1|KS   |1|
|  18009|  18004|  3|G  |H| 1|  7| ||  3|U.S. House  |District 3  |L   |270|20101102| 0|  1|KY   |1|
|  18011|  18005|  4|G  |H| 1|  7| ||  3|U.S. House  |District 4  |L   |300|20101102| 0|  1|KY   |1|
|  18013|  18006|  5|G  |H| 1|  7| ||  3|U.S. House  |District 5  |L   |330|20101102| 0|  1|KY   |1|
